year,CTY_CODE,CTYNAME,I_1,IYR,E_1,EYR
2012,3310,Ecuador,584.118984,9484.775298,526.890118,6692.387272
2013,3310,Ecuador,1017.149404,5491.68848,635.751693,3560.030997
2001,3330,Peru,172.9,1843.9,107,1564.2
2002,3330,Peru,157.3,1939.3,124.6,1562.5
2003,3330,Peru,175.04362,2408.723259,127.633051,1698.531073
2004,3330,Peru,228.805894,3701.553446,145.052256,2101.024891
2005,3330,Peru,331.846994,5119.15577,212.611171,2309.446378
2006,3330,Peru,481.0925,5880.38532,234.388953,2926.839982
2007,3330,Peru,441.228417,5271.605833,270.46198,4119.773437
2008,3330,Peru,472.718905,5812.452843,453.222488,6182.968633
2009,3330,Peru,404.988749,4223.312297,372.069057,4918.842351
2010,3330,Peru,379.996696,5243.307323,511.704465,6749.545624
2011,3330,Peru,681.866855,6605.022259,661.713406,8335.49149
2012,3330,Peru,573.253004,6418.060238,702.9242,9344.822407
2013,3330,Peru,632.257325,3860.589462,863.806288,4950.429113
2001,3350,Bolivia,14.8,166.4,12.2,215.9
2002,3350,Bolivia,16.4,160.6,11.2,192.1
2003,3350,Bolivia,15.030633,184.722745,11.207242,182.749531
2004,3350,Bolivia,13.093784,260.424318,15.898893,193.854824
2005,3350,Bolivia,16.435689,293.216045,16.195954,219.479092
2006,3350,Bolivia,42.014073,362.382227,15.946502,215.237769
2007,3350,Bolivia,40.311793,362.586543,19.025533,277.677271
2008,3350,Bolivia,22.662913,510.95843,26.417011,389.305755
2009,3350,Bolivia,30.843489,504.460133,29.530883,431.413764
2010,3350,Bolivia,44.507533,680.157819,34.076951,507.981144
2011,3350,Bolivia,63.765335,901.535776,42.043331,667.137936
2012,3350,Bolivia,110.57352,1682.336183,62.925729,762.856688
2013,3350,Bolivia,298.155805,779.966839,59.818497,441.040462
2001,3370,Chile,390.5,3495.2,249.9,3118.3
2002,3370,Chile,447.4,3784.5,219.9,2608.8
2003,3370,Chile,400.21646,3705.438117,195.6557,2715.040776
2004,3370,Chile,358.582022,4732.287954,224.736426,3605.98429
2005,3370,Chile,670.291963,6664.333836,315.875282,5133.523351
2006,3370,Chile,843.349493,9565.127122,477.942859,6585.849415
2007,3370,Chile,941.010838,8998.792694,493.035935,8148.107198
2008,3370,Chile,766.554781,8195.971599,741.570989,11857.44381
2009,3370,Chile,731.490842,5949.252719,747.877239,9345.620179
2010,3370,Chile,833.261668,7017.465154,758.032246,10906.67481
2011,3370,Chile,872.563361,9076.037447,1057.331768,15979.21762
2012,3370,Chile,798.996638,9371.114463,1371.442875,18765.82781
2013,3370,Chile,1109.446447,6272.458748,1230.512189,8677.146894
2001,3510,Brazil,1360,14466.3,1265.3,15879.4
2002,3510,Brazil,1093,15780.5,1016.1,12375.9
2003,3510,Brazil,1434.333961,17910.336,809.298446,11211.00806
2004,3510,Brazil,1393.365326,21159.92092,1042.49573,13886.42335
2005,3510,Brazil,2038.070725,24435.51938,1051.242258,15371.71785
2006,3510,Brazil,2006.435172,26366.72536,1386.609651,18887.03148
2007,3510,Brazil,2045.625431,25644.18712,2175.901602,24172.31521
2008,3510,Brazil,2283.882839,30452.94418,2270.041254,32298.65456
2009,3510,Brazil,1810.866138,20069.60659,2118.038467,26095.45534
2010,3510,Brazil,1942.338948,23958.06387,2265.383193,35417.67401
2011,3510,Brazil,2206.19446,31736.97614,3224.869866,42938.41075
2012,3510,Brazil,3003.429129,32123.027,3052.723222,43805.97111
2013,3510,Brazil,2156.339523,13109.19681,3062.016718,21000.22461
2001,3530,Paraguay,2.9,32.6,35.7,388.7
2002,3530,Paraguay,2.6,43.7,35.8,432.7
2003,3530,Paraguay,3.651319,53.277006,41.187005,483.662004
2004,3530,Paraguay,3.778408,58.582946,42.71321,622.872325
2005,3530,Paraguay,5.407696,51.645596,91.326667,895.819607
2006,3530,Paraguay,3.600883,58.038901,68.504859,910.768324
2007,3530,Paraguay,5.089539,67.969086,73.481851,1236.732017
2008,3530,Paraguay,5.95236,78.403962,117.349557,1609.936531
2009,3530,Paraguay,4.269984,56.405447,83.597664,1355.033256
2010,3530,Paraguay,4.711516,62.138779,153.133753,1810.053906
2011,3530,Paraguay,5.220458,109.957418,166.839956,1975.309229
2012,3530,Paraguay,10.742334,196.931657,132.04503,1742.656281
2013,3530,Paraguay,21.310555,121.334877,172.612602,944.01501
2001,3550,Uruguay,20.1,227.7,40.9,406.3
2002,3550,Uruguay,13.4,193.2,18.6,208.6
2003,3550,Uruguay,12.675157,255.730783,12.658387,326.494173
2004,3550,Uruguay,29.247456,579.993554,19.73402,326.063241
2005,3550,Uruguay,54.057532,732.311644,22.57137,356.676188
2006,3550,Uruguay,55.332073,512.307227,32.528866,482.235804
2007,3550,Uruguay,50.098087,491.922168,36.911662,640.772589
2008,3550,Uruguay,19.457171,244.310589,56.928963,893.056253
2009,3550,Uruguay,23.621846,239.22559,58.853107,745.087443
2010,3550,Uruguay,14.05752,235.379696,68.681192,975.277447
2011,3550,Uruguay,17.614333,291.454584,77.347539,1256.253165
2012,3550,Uruguay,28.948033,357.312887,89.571639,1358.921999
2013,3550,Uruguay,35.801176,222.865947,252.472892,870.692663
2001,3570,Argentina,277.7,3013.4,384.8,3920
2002,3570,Argentina,266.7,3187.3,108,1585.5
2003,3570,Argentina,273.71432,3169.783857,140.452377,2437.303964
2004,3570,Argentina,266.861343,3745.506076,278.477775,3388.087564
2005,3570,Argentina,406.956389,4583.613305,290.957199,4121.861182
2006,3570,Argentina,370.614699,3978.98852,342.806958,4775.927712
2007,3570,Argentina,336.307554,4486.947482,399.190508,5855.853074
2008,3570,Argentina,496.994591,5822.06418,533.459799,7536.315425
2009,3570,Argentina,393.049344,3890.111947,437.398663,5568.885625
2010,3570,Argentina,252.733103,3802.754172,462.325049,7392.13609
2011,3570,Argentina,452.649135,4502.889119,652.672226,9881.109799
2012,3570,Argentina,441.211873,4349.620765,967.22003,10267.94834
2013,3570,Argentina,316.618056,2257.436668,786.927248,4877.651892
2001,3720,Falkland Islands(Islas Malvin,0.1,6.8,0,0.4
2002,3720,Falkland Islands(Islas Malvin,0.6,6,0.1,0.4
2003,3720,Falkland Islands(Islas Malvin,0.963854,5.114106,0.063269,0.988431
2004,3720,Falkland Islands(Islas Malvin,0,6.646804,0.198452,0.428678
2005,3720,Falkland Islands(Islas Malvin,0.672495,9.261546,0.070497,9.049418
2006,3720,Falkland Islands(Islas Malvin,0.464695,12.236875,0.287283,1.63759
2007,3720,Falkland Islands(Islas Malvin,0,4.853273,0.025406,0.973369
2008,3720,Falkland Islands(Islas Malvin,0.002188,7.266821,0.06997,0.805502
2009,3720,Falkland Islands(Islas Malvin,0.224467,8.305197,0.026061,2.356305
2010,3720,Falkland Islands(Islas Malvin,0.121057,5.431691,0.068434,2.718134
2011,3720,Falkland Islands(Islas Malvin,0.000837,6.895485,0.245757,3.957498
2012,3720,Falkland Islands(Islas Malvin,0,11.210967,2.56768,4.347073
2013,3720,Falkland Islands(Islas Malvin,0.000809,0.541095,0.153245,0.760268
2001,4000,Iceland,19,232.4,10.5,225.5
2002,4000,Iceland,21,297,8.8,218.9
2003,4000,Iceland,17.14837,281.768396,8.483161,242.08204
2004,4000,Iceland,16.887222,273.750028,11.938881,308.551167
2005,4000,Iceland,18.921593,268.97508,28.07037,512.019513
2006,4000,Iceland,22.184682,227.534467,34.325678,365.791294
2007,4000,Iceland,18.562368,205.735006,27.357222,629.632708
2008,4000,Iceland,20.491211,240.697731,55.807944,469.500222
2009,4000,Iceland,11.785695,179.146449,27.389077,349.502029
2010,4000,Iceland,13.604397,201.249833,30.683962,324.882989
2011,4000,Iceland,15.580603,215.74448,48.676233,627.619022
2012,4000,Iceland,15.625468,283.735298,27.180686,370.808796
2013,4000,Iceland,40.006825,160.730776,24.388777,139.050578
2001,4010,Sweden,730.3,8908.6,322.3,3541.2
2002,4010,Sweden,581.2,9216.4,250.9,3153
2003,4010,Sweden,661.847779,11119.18428,233.357431,3223.395766
2004,4010,Sweden,895.782955,12683.04305,234.550317,3244.171021
2005,4010,Sweden,914.362171,13820.97724,315.489059,3715.36862
2006,4010,Sweden,1021.123974,13870.39886,302.394569,4125.937735
2007,4010,Sweden,1070.226689,13023.90426,341.846604,4472.726015
2008,4010,Sweden,968.104117,12498.32269,347.613102,5018.258734
2009,4010,Sweden,644.854978,8185.507543,346.874763,4560.785212
2010,4010,Sweden,646.462919,10497.38735,319.374908,4739.888118
2011,4010,Sweden,997.555262,11490.18407,366.922874,5280.840365
2012,4010,Sweden,846.505799,10216.79075,420.532536,5247.962355
2013,4010,Sweden,637.286596,4666.434203,434.958997,2317.66065
2001,4031,"Svalbard, _1 _5en Island",0,0,0,0.9
2002,4031,"Svalbard, _1 _5en Island",0,0,0.1,0.6
2003,4031,"Svalbard, _1 _5en Island",0,0,0.013202,2.909866
2004,4031,"Svalbard, _1 _5en Island",0,0.0069,0.000204,0.977832
2005,4031,"Svalbard, _1 _5en Island",0,0.039576,0.548036,5.677609
2006,4031,"Svalbard, _1 _5en Island",0,0.017675,0.14868,5.729024
2007,4031,"Svalbard, _1 _5en Island",0,0.229221,0.084847,0.926112
2008,4031,"Svalbard, _1 _5en Island",0,0.026939,0.053316,2.20477
2009,4031,"Svalbard, _1 _5en Island",0,0,0.117311,0.868604
2010,4031,"Svalbard, _1 _5en Island",0,0.025044,0.20881,7.674628
2011,4031,"Svalbard, _1 _5en Island",0,0.003484,0.110031,2.052453
2012,4031,"Svalbard, _1 _5en Island",0,0.008417,0,0.125458
2013,4031,"Svalbard, _1 _5en Island",0,0.007137,0.002206,1.335699
2001,4039,Norway,439.3,5202.8,103.6,1834.7
2002,4039,Norway,311.1,5842.5,98.7,1406.5
2003,4039,Norway,312.050214,5231.944277,108.538263,1465.898293
2004,4039,Norway,441.693997,6508.711984,106.798527,1604.325037
2005,4039,Norway,434.820252,6776.30892,116.599141,1941.882004
2006,4039,Norway,578.237713,7085.306498,170.618569,2393.968843
2007,4039,Norway,546.052556,7317.730173,214.706848,3040.287529
2008,4039,Norway,579.754037,7315.13931,329.673032,3292.19821
2009,4039,Norway,365.160869,5688.164538,187.033828,2789.788721
2010,4039,Norway,774.089753,6950.265655,192.579897,3099.984444
2011,4039,Norway,580.936895,8304.891628,247.107742,3623.187754
2012,4039,Norway,460.780478,6565.761453,344.147841,3501.019107
2013,4039,Norway,434.737201,2639.408855,283.203596,2157.97422
2001,4050,Finland,300.9,3393.8,132.7,1554
2002,4050,Finland,229.9,3447.1,93.3,1535
2003,4050,Finland,267.926392,3602.296175,104.058617,1713.295733
2004,4050,Finland,402.753032,3886.927493,136.762697,2069.003776
2005,4050,Finland,289.757268,4341.679942,133.811115,2254.052992
2006,4050,Finland,365.329926,4973.872821,163.302283,2647.790945
2007,4050,Finland,396.992006,5266.161796,217.893291,3133.422316
2008,4050,Finland,372.138699,5903.287905,217.680304,3760.847433
2009,4050,Finland,373.069797,3985.288638,112.489624,1661.981706
2010,4050,Finland,220.768812,3883.667052,119.41903,2179.532042
2011,4050,Finland,348.622942,4435.63551,195.464333,3156.37256
2012,4050,Finland,535.121558,5109.340291,186.059263,2566.219323
2013,4050,Finland,319.123044,2305.955449,205.548441,1221.615768
2001,4091,Faroe Islands,1.4,13.2,0,19.9
2002,4091,Faroe Islands,1.1,15.5,0.3,4.7
2003,4091,Faroe Islands,0.873942,17.251443,0.768542,13.382154
2004,4091,Faroe Islands,0.468136,7.105245,0.476278,9.285555
2005,4091,Faroe Islands,0.784391,4.276273,0.067019,2.528152
2006,4091,Faroe Islands,0.243114,4.098846,0.094171,3.968862
2007,4091,Faroe Islands,0.580236,7.072763,0.119425,2.800199
2008,4091,Faroe Islands,0.383333,16.039178,0.88344,14.339798
2009,4091,Faroe Islands,2.098113,61.779802,0.282043,9.87
2010,4091,Faroe Islands,5.038119,72.309799,0.109992,2.12958
2011,4091,Faroe Islands,8.430062,105.951574,0.23676,3.560628
2012,4091,Faroe Islands,3.253888,72.626589,0.030787,1.627283
2013,4091,Faroe Islands,9.522837,59.122584,0.181908,1.128205
2001,4099,Den_3k,226.6,3406.6,122,1609.2
2002,4099,Den_3k,250.5,3237.3,144.5,1495.9
2003,4099,Den_3k,235.938476,3708.39792,110.472695,1547.791508
2004,4099,Den_3k,243.798658,3876.289205,143.13537,2146.584137
2005,4099,Den_3k,344.806481,5144.20165,145.233897,1918.423705
2006,4099,Den_3k,323.935559,5540.10062,170.012629,2268.482228
2007,4099,Den_3k,395.713557,6064.385266,173.044035,2889.652859
2008,4099,Den_3k,362.119821,6446.407831,218.418032,2711.049826
2009,4099,Den_3k,410.299497,5510.513708,161.392468,2056.087203
2010,4099,Den_3k,306.762843,6011.905061,172.363679,2132.446964
2011,4099,Den_3k,493.031556,6760.142719,193.647314,2243.219702
2012,4099,Den_3k,502.01318,6775.49211,183.906115,2221.349751
2013,4099,Den_3k,546.865088,3188.219053,254.512718,1135.075795
2001,4120,United Kingdom,3856.5,41368.7,3373.5,40714.2
2002,4120,United Kingdom,3046.1,40744.9,2764.1,33204.7
2003,4120,United Kingdom,3002.737444,42794.95745,2670.188542,33827.92964
2004,4120,United Kingdom,3203.083405,46273.82337,2802.919536,35901.65824
2005,4120,United Kingdom,3544.776694,51032.62111,2807.117599,38568.08305
2006,4120,United Kingdom,3824.179584,53513.01848,3151.859382,45410.10653
2007,4120,United Kingdom,4063.137708,56857.54243,3622.017089,49981.4913
2008,4120,United Kingdom,4581.412316,58587.38303,4708.143862,53599.06971
2009,4120,United Kingdom,3077.434769,47479.89056,3681.49618,45703.59825
2010,4120,United Kingdom,3198.563623,49805.39603,3823.179784,48410.31105
2011,4120,United Kingdom,3619.513157,51262.09747,4136.175904,55866.29349
2012,4120,United Kingdom,4285.942155,54962.43915,4581.022214,54850.51349
2013,4120,United Kingdom,3949.266632,25715.26417,3914.811545,24494.53871
2001,4190,Ireland,1496.9,18499.4,756,7144
2002,4190,Ireland,1516.6,22437.6,598.7,6745
2003,4190,Ireland,2112.000824,25746.52947,679.653353,7695.662657
2004,4190,Ireland,1520.7634,27447.87902,627.558962,7551.619955
2005,4190,Ireland,1985.331728,28733.08026,676.703116,8446.771993
2006,4190,Ireland,2225.236391,28525.85406,651.282691,7621.461208
2007,4190,Ireland,2657.39232,30445.04034,685.944051,7776.969775
2008,4190,Ireland,2269.983663,31346.48264,634.917117,7610.825492
2009,4190,Ireland,2331.139993,28100.57752,669.651498,7465.002762
2010,4190,Ireland,2352.253592,33848.02837,761.8333,7275.841853
2011,4190,Ireland,2658.862857,39374.82832,716.817166,7645.460633
2012,4190,Ireland,2994.113499,33326.76152,602.088538,7391.846907
2013,4190,Ireland,2553.470415,15592.93281,633.349492,3338.672663
2001,4210,Netherlands,835.3,9515.2,1808.5,19484.8
2002,4210,Netherlands,679.2,9848.4,1460.4,18310.7
2003,4210,Netherlands,882.690561,10952.8261,1529.24688,20695.0093
2004,4210,Netherlands,853.430368,12450.52946,1634.91278,24139.70102
2005,4210,Netherlands,1036.069965,14862.04151,2098.240507,26467.74458
2006,4210,Netherlands,1434.220221,17342.2618,2178.962015,30959.5831
2007,4210,Netherlands,1164.076162,18403.13818,3016.182563,32836.95895
2008,4210,Netherlands,1469.755514,21122.91233,3204.466154,39719.47689
2009,4210,Netherlands,1186.381695,16098.46047,2399.848733,32241.51766
2010,4210,Netherlands,1397.73115,19055.45771,2484.169193,34740.30213
2011,4210,Netherlands,1508.130532,23454.95345,3051.913237,42159.43009
2012,4210,Netherlands,1955.058042,22257.45857,3434.087632,40627.22509
2013,4210,Netherlands,1786.826904,10237.57437,2912.111733,19731.82228
2001,4231,Belgium,870.9,10158.4,1143.1,13502.4
2002,4231,Belgium,733.9,9806.7,959,13326.1
2003,4231,Belgium,774.570524,10140.82033,1222.693762,15236.05375
2004,4231,Belgium,897.442116,12446.22916,1236.383591,16871.13345
2005,4231,Belgium,983.260669,13022.90274,1454.417659,18690.60657
2006,4231,Belgium,1007.484577,14405.41344,1491.546238,21339.99141
2007,4231,Belgium,1136.203813,15281.17993,1822.939572,25258.5188
2008,4231,Belgium,1352.909031,17308.06397,2227.502395,28903.48187
2009,4231,Belgium,914.769086,13825.67876,1752.057708,21607.72719
2010,4231,Belgium,1561.633243,15551.88055,1851.899201,25457.98252
2011,4231,Belgium,1230.416851,17431.58965,2105.899031,29914.05596
2012,4231,Belgium,1279.113064,17363.79554,2212.00006,29448.54855
2013,4231,Belgium,1544.81066,9260.951787,2175.090735,15851.35322
2001,4239,Luxembourg,30.4,305.5,24.2,548.5
2002,4239,Luxembourg,20.6,300,20.7,480.1
2003,4239,Luxembourg,24.373975,265.092804,17.843393,279.107844
2004,4239,Luxembourg,17.452846,290.204631,24.053213,639.851628
2005,4239,Luxembourg,23.410262,388.834493,81.611987,711.38307
2006,4239,Luxembourg,106.321289,534.089083,37.506708,581.322055
2007,4239,Luxembourg,49.700184,526.213489,41.453596,925.54978
2008,4239,Luxembourg,33.671073,536.134661,44.825782,988.035453
2009,4239,Luxembourg,34.043906,442.865412,72.772228,1292.061259
2010,4239,Luxembourg,31.909768,450.693951,120.964377,1439.673708
2011,4239,Luxembourg,31.312149,495.112965,116.623187,1585.168549
2012,4239,Luxembourg,31.560143,549.807837,71.064906,1902.395957
2013,4239,Luxembourg,123.371855,368.077577,91.301265,1021.076826
2001,4271,Andorra,0,0.1,0.8,8.2
2002,4271,Andorra,0,0.6,0.5,11
2003,4271,Andorra,0.005856,0.273327,0.392273,8.190542
2004,4271,Andorra,0.276921,0.913903,0.626071,11.625376
2005,4271,Andorra,0.037919,0.673148,0.711776,10.549473
2006,4271,Andorra,0.023978,2.724343,0.61789,8.988508
2007,4271,Andorra,0.112935,0.438421,0.786735,14.463888
2008,4271,Andorra,0.06346,0.871819,0.447886,15.723474
2009,4271,Andorra,0.029818,0.528376,0.262138,9.426362
2010,4271,Andorra,0.08086,0.475977,0.115158,7.68208
2011,4271,Andorra,0.085122,0.616323,0.066727,5.161272
2012,4271,Andorra,0.070849,0.428818,0.122668,2.238367
2013,4271,Andorra,0.092027,0.797104,0.155372,2.5681
2001,4272,Monaco,0.8,15,1.3,14.9
2002,4272,Monaco,0.6,15,0.8,11.6
2003,4272,Monaco,1.096962,21.586628,3.788011,50.296685
2004,4272,Monaco,1.312574,23.035857,0.727445,18.163831
2005,4272,Monaco,1.147503,37.485881,0.975251,16.776668
2006,4272,Monaco,1.691582,31.613736,0.32087,33.485803
2007,4272,Monaco,1.653025,21.409669,2.451672,42.757654
2008,4272,Monaco,1.982671,22.26209,2.417123,62.734955
2009,4272,Monaco,1.293904,38.711264,0.685079,17.968911
2010,4272,Monaco,1.061657,24.491047,2.623812,49.192767
2011,4272,Monaco,4.023823,30.416646,2.597441,20.664012
2012,4272,Monaco,2.421247,102.40254,1.800045,24.30608
2013,4272,Monaco,3.973031,14.730312,1.322674,434.312938
2001,4279,France,2524.9,30408,1641.5,19864.5
2002,4279,France,2283.6,28240.1,1543,19015.9
2003,4279,France,2354.303713,29219.27972,1369.27554,17053.02555
2004,4279,France,2258.015912,31605.73859,1484.417538,20917.7471
2005,4279,France,2562.059966,33842.05751,1764.374878,22258.62805
2006,4279,France,2882.794488,37039.63172,1959.509424,23511.81973
2007,4279,France,2960.541485,41552.71112,2272.98178,26675.96975
2008,4279,France,3342.495182,44049.3357,2145.567325,28840.09694
2009,4279,France,2691.574433,34236.04296,2217.355607,26493.00935
2010,4279,France,2555.731924,38355.49312,2011.08256,26969.95194
2011,4279,France,2798.111841,40049.08343,2211.243359,27802.14398
2012,4279,France,3346.716384,41749.83876,2249.784084,30806.04424
2013,4279,France,3210.894081,21165.66135,2411.692545,15295.48533
2001,4280,Germany,4875,59076.6,2546.3,29995.4
2002,4280,Germany,4194.7,62505.7,2021.9,26629.6
2003,4280,Germany,4876.693261,68112.69184,2159.991818,28831.86655
2004,4280,Germany,5013.050661,77265.57432,2309.694514,31415.88156
2005,4280,Germany,5955.928052,84750.87138,2507.254191,34183.65627
2006,4280,Germany,6610.821368,89082.04932,2658.729344,41159.11581
2007,4280,Germany,6853.538936,94164.09564,3618.648074,49419.70314
2008,4280,Germany,7078.525262,97496.57372,4064.462961,54505.25573
2009,4280,Germany,5213.588313,71498.15431,3555.622453,43306.25844
2010,4280,Germany,5007.718306,82450.41186,3826.700173,48155.26322
2011,4280,Germany,6997.757265,98687.92686,3689.431688,49146.79951
2012,4280,Germany,7693.867793,108708.1286,3666.246868,48797.10129
2013,4280,Germany,8031.686004,54391.74495,3801.806503,23757.53031
2001,4330,Austria,307.6,3968.6,196.2,2604.8
2002,4330,Austria,224.1,3815.2,169.9,2427.4
2003,4330,Austria,301.268677,4492.253736,122.997075,1768.42222
2004,4330,Austria,322.604889,5798.38279,122.069385,1945.663941
2005,4330,Austria,423.305375,6102.944725,144.058136,2544.481273
2006,4330,Austria,544.498671,8304.346256,210.273546,2961.458498
2007,4330,Austria,644.853571,10668.88004,391.626391,3109.855557
2008,4330,Austria,771.021471,8457.019639,212.79213,2649.130446
2009,4330,Austria,481.559569,6378.561635,149.465066,2536.845631
2010,4330,Austria,424.769062,6835.322637,309.983772,2428.561443
2011,4330,Austria,581.807581,9482.744635,175.899855,2888.239341
2012,4330,Austria,759.409232,9449.133838,212.598048,3419.428778
2013,4330,Austria,702.244518,4786.070055,223.587973,1787.066537
2003,4350,Czechoslovakia,0,0,0,0
2001,4351,Czech Republic,98.6,1116.3,72.3,706.2
2002,4351,Czech Republic,84.8,1233.4,41.6,653.7
2003,4351,Czech Republic,96.659781,1393.935565,49.080646,672.149098
2004,4351,Czech Republic,103.883572,1755.919163,55.842389,826.617913
2005,4351,Czech Republic,136.921175,2192.863031,73.595286,1053.557481
2006,4351,Czech Republic,177.77469,2349.148106,75.901271,1122.604496
2007,4351,Czech Republic,184.330094,2430.571465,109.450864,1262.34293
2008,4351,Czech Republic,204.634986,2568.678718,109.560507,1378.4201
2009,4351,Czech Republic,158.087986,1933.356631,80.523356,969.635528
2010,4351,Czech Republic,152.570883,2450.064527,119.800628,1410.841262
2011,4351,Czech Republic,237.392656,3344.112326,109.388969,1680.683924
2012,4351,Czech Republic,312.521123,3930.616617,131.753303,1832.310246
2013,4351,Czech Republic,290.242966,1850.467963,154.706179,948.861186
2001,4359,Slovakia,19,237.6,6.1,69.9
2002,4359,Slovakia,16.4,260.4,4.2,92.7
2003,4359,Slovakia,19.186019,1009.317122,4.199743,115.203591
2004,4359,Slovakia,81.417955,1211.339647,7.212867,131.67953
2005,4359,Slovakia,33.68527,960.730063,11.3282,149.800634
2006,4359,Slovakia,70.96956,1405.044637,10.019573,422.476654
2007,4359,Slovakia,115.88441,1504.800578,56.933354,503.251782
2008,4359,Slovakia,111.633664,1301.052164,23.384573,547.543286
2009,4359,Slovakia,39.888918,627.789439,16.35249,209.588452
2010,4359,Slovakia,50.820856,1073.148169,10.777423,255.851944
2011,4359,Slovakia,91.219651,1407.638321,24.902165,302.14797
2012,4359,Slovakia,113.37184,1779.625399,30.097591,335.532642
2013,4359,Slovakia,118.154917,848.603996,32.816753,161.637471
2001,4370,Hungary,165.3,2964.6,50.7,685.6
2002,4370,Hungary,128.2,2637.5,62.2,688
2003,4370,Hungary,133.498785,2700.652835,87.547907,933.262944
2004,4370,Hungary,290.56869,2572.607225,99.414649,1142.562781
2005,4370,Hungary,198.365734,2561.172978,56.038742,1023.258213
2006,4370,Hungary,329.987965,2584.325846,81.240458,1187.640766
2007,4370,Hungary,198.176528,2827.524521,104.578799,1291.86791
2008,4370,Hungary,254.903701,3102.759935,98.27373,1430.952895
2009,4370,Hungary,151.857211,2223.435499,103.119276,1232.876763
2010,4370,Hungary,150.887492,2491.186229,95.32775,1290.393339
2011,4370,Hungary,262.431439,2948.676937,100.465699,1474.315847
2012,4370,Hungary,255.252837,3201.452312,121.018769,1566.040225
2013,4370,Hungary,273.264778,1663.686305,120.776576,840.310004
2001,4411,Liechtenstein,19,224.3,0.9,7.1
2002,4411,Liechtenstein,17.6,237.7,9.7,14.4
2003,4411,Liechtenstein,14.928929,261.854775,0.345377,15.943502
2004,4411,Liechtenstein,18.211747,286.382905,0.707495,10.831757
2005,4411,Liechtenstein,20.216941,295.705721,0.571231,19.7165
2006,4411,Liechtenstein,39.730293,324.308659,1.256656,15.835002
2007,4411,Liechtenstein,17.805199,284.24852,1.178151,16.183424
2008,4411,Liechtenstein,16.342423,244.930126,2.644487,29.259009
2009,4411,Liechtenstein,9.966551,179.598084,2.32168,23.482968
2010,4411,Liechtenstein,12.988968,212.606128,1.064124,29.267415
2011,4411,Liechtenstein,21.456782,250.459224,1.950988,62.259383
2012,4411,Liechtenstein,19.711376,310.233206,1.203033,21.941954
2013,4411,Liechtenstein,21.223832,141.524422,1.878238,11.469633
2001,4419,Switzerland,872.1,9669.6,934.6,9807.3
2002,4419,Switzerland,595.5,9382.1,497.4,7782.6
2003,4419,Switzerland,754.892041,10685.25363,641.798999,8656.375445
2004,4419,Switzerland,788.044835,11627.72946,620.680548,9279.928575
2005,4419,Switzerland,983.198554,12999.88108,915.251503,10717.52806
2006,4419,Switzerland,1035.437717,14229.863,837.903358,14375.04364
2007,4419,Switzerland,1092.894171,14760.20601,1070.023973,17039.26147
2008,4419,Switzerland,1308.070711,17781.88633,1387.592039,22023.64586
2009,4419,Switzerland,1196.089179,16052.92445,1499.636813,17504.40987
2010,4419,Switzerland,1366.230086,19136.75838,1677.540186,20703.84932
2011,4419,Switzerland,1590.759775,24362.40778,1663.812984,24368.98474
2012,4419,Switzerland,1958.937225,25672.72468,2613.287038,26390.35418
2013,4419,Switzerland,2235.340913,14618.10884,2049.319493,15713.66548
2001,4470,Estonia,37.1,241,3.4,57.7
2002,4470,Estonia,15.7,163.5,2.7,81.5
2003,4470,Estonia,9.21706,181.526217,3.614947,120.56288
2004,4470,Estonia,28.677822,393.103413,9.100998,134.267298
2005,4470,Estonia,20.273309,511.379949,17.900591,145.425805
2006,4470,Estonia,69.119937,526.25118,9.399501,221.419402
2007,4470,Estonia,37.026723,296.183003,16.381542,242.279007
2008,4470,Estonia,24.034974,392.08283,13.148601,225.553251
2009,4470,Estonia,26.412424,162.214764,12.791465,189.474502
2010,4470,Estonia,9.182447,697.510943,11.140467,187.880428
2011,4470,Estonia,117.448163,962.196679,19.134831,309.386674
2012,4470,Estonia,48.51013,506.53419,22.085772,235.93459
2013,4470,Estonia,38.640898,236.006908,24.459466,144.202823
2001,4490,Latvia,41.1,144.4,13.9,110.7
2002,4490,Latvia,4.4,196.9,6.1,91
2003,4490,Latvia,21.940691,377.402048,6.224018,123.739476
2004,4490,Latvia,54.64793,364.640014,5.894541,121.101121
2005,4490,Latvia,23.873138,362.159252,10.543767,177.537085
2006,4490,Latvia,114.933052,298.883391,17.967783,245.468729
2007,4490,Latvia,6.258115,334.023954,32.171318,381.39144
2008,4490,Latvia,11.00187,228.344241,21.050125,393.968241
2009,4490,Latvia,13.975969,141.548432,19.889227,288.594228
2010,4490,Latvia,20.009145,193.058351,23.915372,344.952057
2011,4490,Latvia,17.864615,362.638312,52.881855,585.718288
2012,4490,Latvia,22.840313,246.245171,62.782057,514.892762
2013,4490,Latvia,15.428617,140.402649,26.439836,184.619297
2001,4510,Lithuania,10.6,164.3,5.2,99.9
2002,4510,Lithuania,15.1,299.6,5.6,102.8
2003,4510,Lithuania,24.283372,346.910672,6.306461,162.319323
2004,4510,Lithuania,22.140661,481.968116,17.33834,295.103827
2005,4510,Lithuania,44.822896,633.912046,30.246864,390.027824
2006,4510,Lithuania,23.839832,570.108627,29.681199,566.639841
2007,4510,Lithuania,36.324022,455.654511,55.337846,720.302048
2008,4510,Lithuania,52.702,750.038947,49.251825,831.259516
2009,4510,Lithuania,40.391195,589.906213,35.525902,398.538386
